dataset,image,k,n_bits_written,MSE,PSNR,SSIM
BOSS,83.bmp,1,256000,0.4885,51.2424,0.9973
BOSS,83.bmp,2,256000,1.9499,45.2306,0.99
BOSS,83.bmp,3,256000,7.8035,39.2079,0.9654
BOSS,84.bmp,1,256000,0.4883,51.2436,0.9959
BOSS,84.bmp,2,256000,1.958,45.2126,0.9839
BOSS,84.bmp,3,256000,7.824,39.1965,0.9415
BOSS,85.bmp,1,256000,0.4897,51.2318,0.9973
BOSS,85.bmp,2,256000,1.9509,45.2284,0.9895
BOSS,85.bmp,3,256000,7.8391,39.1881,0.96
BOSS,86.bmp,1,256000,0.4882,51.245,0.9957
BOSS,86.bmp,2,256000,1.9477,45.2355,0.9837
BOSS,86.bmp,3,256000,7.8326,39.1918,0.9409
BOSS,87.bmp,1,256000,0.487,51.2554,0.9967
BOSS,87.bmp,2,256000,1.9548,45.2197,0.9871
BOSS,87.bmp,3,256000,7.7978,39.2111,0.9535
BOSS,88.bmp,1,256000,0.488,51.2465,0.9972
BOSS,88.bmp,2,256000,1.9553,45.2187,0.9889
BOSS,88.bmp,3,256000,7.7993,39.2103,0.9596
BOSS,89.bmp,1,256000,0.4874,51.2517,0.9951
BOSS,89.bmp,2,256000,1.949,45.2327,0.9827
BOSS,89.bmp,3,256000,7.8006,39.2095,0.943
BOSS,9.bmp,1,256000,0.4874,51.2518,0.9976
BOSS,9.bmp,2,256000,1.9511,45.2279,0.9907
BOSS,9.bmp,3,256000,7.7822,39.2198,0.9662
BOSS,90.bmp,1,256000,0.488,51.2465,0.9957
BOSS,90.bmp,2,256000,1.952,45.226,0.9832
BOSS,90.bmp,3,256000,7.8492,39.1826,0.9378
BOSS,91.bmp,1,256000,0.4893,51.2351,0.9977
BOSS,91.bmp,2,256000,1.9504,45.2295,0.9918
BOSS,91.bmp,3,256000,7.834,39.191,0.9728
BOSS,92.bmp,1,256000,0.4903,51.2265,0.9936
BOSS,92.bmp,2,256000,1.9492,45.2322,0.9754
